13:13:10.120 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
13:13:10.136 [main] INFO  c.csmayur.Journal.JournalApplication - Starting JournalApplication v0.0.1-SNAPSHOT using Java 11.0.28 on Mayur with PID 17844 (C:\Users\mayur\Desktop\spring\Journal\target\Journal-0.0.1-SNAPSHOT.jar started by mayur in C:\Users\mayur\Desktop\spring\Journal)
13:13:10.139 [main] INFO  c.csmayur.Journal.JournalApplication - The following 1 profile is active: "dev"
13:13:10.927 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
13:13:10.989 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 45 ms. Found 2 MongoDB repository interfaces.
13:13:11.874 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
13:13:11.885 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:13:11.886 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:13:11.886 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
13:13:11.979 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:13:11.980 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1720 ms
13:13:13.451 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/11.0.28+12-LTS-279", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='cmayur1404_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@7561db12]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.3fhaqhg.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-6hy5b4-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
13:13:13.831 [main] INFO  org.mongodb.driver.cluster - Cluster description not yet available. Waiting for 30000 ms before timing out
13:13:14.621 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-srv-cluster0.3fhaqhg.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tntfc8j-shard-00-02.3fhaqhg.mongodb.net:27017 to client view of cluster
13:13:14.659 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-srv-cluster0.3fhaqhg.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tntfc8j-shard-00-00.3fhaqhg.mongodb.net:27017 to client view of cluster
13:13:14.661 [cluster-ClusterId{value='68f9dc9187d74b3c23b5f69b', description='null'}-srv-cluster0.3fhaqhg.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tntfc8j-shard-00-01.3fhaqhg.mongodb.net:27017 to client view of cluster
